mat,scalar
2.38E+08,6.59E+07
2.65E+11,7.62E+10
2.08E+08,1.68E+08
1.72E+11,2.01E+12
4.17E+08,1.20E+08
2.14E+12,4.22E+11
3.21E+08,9.98E+07
7.63E+11,2.37E+11
3.35E+08,9.59E+07
9.49E+11,2.19E+11
2.85E+08,8.65E+07
5.25E+11,1.63E+11
2.60E+08,1.66E+08
3.74E+11,1.20E+12
5.25E+08,1.33E+08
8.36E+12,5.78E+11
3.85E+08,1.33E+08
2.28E+12,5.97E+11
3.35E+08,1.17E+08
1.27E+12,4.02E+11
3.29E+08,2.26E+08
1.30E+12,3.68E+12
3.06E+08,1.76E+08
9.16E+11,1.56E+12
2.92E+08,1.84E+08
7.25E+11,1.87E+12
4.39E+08,1.57E+08
6.76E+12,1.14E+12
3.73E+08,1.44E+08
3.23E+12,8.49E+11
3.44E+08,2.92E+08
2.12E+12,2.40E+13
3.33E+08,2.13E+08
2.01E+12,4.15E+12
3.20E+08,1.85E+08
1.56E+12,2.51E+12
