instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
rijc784,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,13.342702897267602,13.342702860842707,15,2.439239997,13.217898795,0.447568855,1615220984,9.111126899719238,6.148039558,787214442,8.917434658750611e-9,6.683379485966757e-10,4.356477723174737e-8,0.0,2.3368187875853808e-9,normalF64
rijc785,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,3.375177974614191,3.375177960770316,19,2.428526089,13.370147148,0.465122992,1652085736,9.229033946990967,6.272135568,824058250,3.6044930317238877e-7,1.0679416237066312e-7,9.825971364412242e-8,0.0,6.61767764088613e-9,normalF64
rijc786,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,3.3750742295334137,3.3750742106874636,11,2.424172172,13.033454509,0.374402433,1597678599,8.978672981262207,6.036133214,769653017,2.4767994579247277e-7,7.338503698916393e-8,5.643032658532254e-8,0.0,3.3612336405524992e-9,normalF64
syn05m,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-1144.5242631306655,-1144.5242631257681,17,2.396227696,13.199156214,0.430730781,1592888943,9.10990285873413,6.148983597,766919592,3.5064062764433857e-11,3.06363647272288e-14,4.882632535728187e-9,0.0,7.624711653577308e-12,normalF64
rijc782,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,8.748279897179964,8.748279873950718,22,2.405172535,13.266790574,0.462521077,1672087223,9.160559892654419,6.227435836,844019353,6.412930261823213e-8,7.3305042296585075e-9,1.6253781416076842e-8,0.0,3.0554646561070136e-9,normalF64
batchdes,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,160860.7518562199,160860.75186019158,45,2.424347456,13.39747086,0.496194873,1638504847,9.289867877960205,6.311257767,812502024,1.468458711359065e-14,9.128756980045339e-20,9.163818083235929e-5,0.0,4.923232022132362e-14,normalF64
synthes3,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,15.082185295131948,15.08218222694085,17,2.394377305,13.352973438,0.447246788,1603205806,9.243403196334839,6.279892301,777144391,1.1976382386626552e-7,7.940749028501659e-9,5.193299078530365e-6,0.0,3.726588680534063e-9,normalF64
rijc783,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,11.746440506893446,11.746440489861719,10,2.478702709,11.960902396,0.434232719,1392428896,7.853337049484253,4.851229368,564282818,1.4396584248344002e-7,1.2256124960382344e-8,1.1218885852316086e-8,0.0,4.26919425064912e-9,normalF64
syn10m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2003.4558328645717,-2003.4558257306937,18,2.420594723,13.401640964,0.454393853,1611171631,9.31165099143982,6.330832065,784959400,5.58611736381498e-8,2.7882408347519516e-11,1.937396008033479e-6,0.0,1.2419326044015086e-8,normalF64
syn05h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-838.010859083513,-838.0107462386002,15,2.407409116,12.08362449,0.421127733,1402992733,7.946211814880371,4.97990282,576922678,8.184247604070549e-7,9.766278700757193e-10,1.0675262549187854e-6,0.0,1.5061290731668773e-7,normalF64
