example,model_type,inst_set,inst_num,inst_data,extender,real_T,solver,solver_options,nondefaults,script_status,n,p,q,nu,cone_types,num_cones,max_q,status,solve_time,iters,primal_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,time_rescale,time_initx,time_inity,time_unproc,time_loadsys,time_upsys,time_upfact,time_uprhs,time_getdir,time_search,setup_time,check_time,total_time
classicalquantum,JuMP,nat,8,"(250, false, false)",,Float64,Hypatia,,,Success,251,1,31627,502.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,31377,Optimal,150.35412096977234,45,-0.5006537645902203,-0.500654310323581,3.6366360791398304e-7,2.9925999342483856e-6,6.8898125612454275e-12,5.551115123125783e-17,1.0817662347492596e-9,0.048431804,0.009418539,0.033986013,0.000155141,0.037780779,109.929187263,0.013031854,24.063279873,9.065732759999996,6.957759609999999,6.013246204,151.290909819,227.887387604
classicalquantum,JuMP,nat,9,"(300, false, false)",,Float64,Hypatia,,,Success,301,1,45452,602.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,45152,Optimal,308.7266118526459,47,-0.5005088525309169,-0.500509351802136,3.327344934136777e-7,2.828551087630249e-6,1.0120321227978905e-10,2.220446049250313e-16,8.261947441294548e-10,0.079731906,0.016637402,0.057144309,0.000198851,0.111946517,236.766239181,0.018125844999999995,43.15892229200001,16.261952115999996,11.927686165,9.01902601,309.610159093,389.138794611
classicalquantum,JuMP,nat,10,"(350, false, false)",,Float64,Hypatia,,,Success,351,1,61777,702.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,61427,Optimal,564.7888541221619,49,-0.5004221418237202,-0.500422607749333,3.105295870321858e-7,2.7186338495410745e-6,3.0107990243747806e-10,2.220446049250313e-16,6.616974461848973e-10,0.13890258,0.026855691,0.088888431,0.000256591,0.15805828,448.4873074499999,0.025280277000000004,72.60824442599996,25.743401544000008,17.001009908,14.028967198,565.13720316,652.447813773
classicalquantum,JuMP,nat,11,"(400, false, false)",,Float64,Hypatia,,,Success,401,1,80602,802.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,80202,Optimal,986.4673449993134,51,-0.5004413083765895,-0.5004419004335645,3.9458840414325537e-7,3.5300214459577095e-6,9.026465805868331e-11,3.3306690738754696e-16,7.363662941125421e-10,0.176159402,0.040227194,0.099994218,0.000319521,0.183081999,798.0563869740001,0.03187664899999999,120.45329460800009,40.657836029999984,25.977579839000004,20.041011577,987.008807899,1077.408442074
classicalquantum,JuMP,nat,12,"(450, false, false)",,Float64,Hypatia,,,Success,451,1,101927,902.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,101477,Optimal,1730.603345155716,57,-0.50047679610031,-0.5004771135124999,2.1154084058117647e-7,1.930647054865231e-6,5.002152507046467e-11,4.440892098500626e-16,3.5115747852934587e-10,0.253012597,0.056760632,0.197253409,0.000385548,0.285656587,1428.6214586950002,0.046489119999999995,193.33648305199998,65.30080895500002,41.278602331,28.054770551,1731.529351617,1832.741203495
classicalquantum,JuMP,ext,1,"(20, false, true)",,Float64,Hypatia,,,Success,4070,2,8100,880.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",59,210,SlowProgress,64.27777791023254,50,-0.5006000847078358,-0.5006006508787673,3.772962054489756e-7,1.7704209952351334e-6,7.488123306877395e-8,5.551115123125783e-17,8.51655808951521e-8,0.265161309,0.722245964,0.261207241,0.000109662,0.220875106,51.99205390299999,3.5627384349999995,0.06143014699999998,9.615804277000004,0.28510987400000004,1.002420718,65.116033422,128.300199486
classicalquantum,JuMP,ext,2,"(40, false, true)",,Float64,Hypatia,,,Success,32140,2,64200,3360.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",119,820,TimeLimit,1816.6217138767242,9,-0.3491399726637274,-5.0515169695867765,0.7770575577257528,111.37654822808145,0.599706330694847,4.440892098500626e-16,0.7843378384579249,12.097730406,58.049440545,7.368416805,0.000533483,11.492080097,1616.114507847,156.297601456,0.12541788599999998,102.17716916300002,0.11079732099999999,6.012121154,1817.884553487,1883.370200457
classicalquantum,JuMP,ext,1,"(20, false, true)",,Float64,Mosek,,,Success,4070,2,8100,880.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",59,210,Optimal,1.2964389324188232,20,-0.5006000561174403,-0.5006001942998678,9.208477249656907e-8,3.1423728120351726e-7,4.233841842285657e-8,2.6099616187019725e-8,2.455151622949281e-8,,,,,,,,,,,1.001768628,2.003604383,50.605332348
classicalquantum,JuMP,ext,2,"(40, false, true)",,Float64,Mosek,,,Success,32140,2,64200,3360.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",119,820,Optimal,34.2162299156189,25,-0.5019212841173031,-0.5019213883225644,6.93813019236003e-8,2.498968665037832e-7,1.750591335014789e-8,1.985135626540735e-8,2.2648279315766423e-8,,,,,,,,,,,21.043365888,35.06066166,101.870281083
classicalquantum,JuMP,ext,3,"(60, false, true)",,Float64,Mosek,,,Success,108210,2,216300,7440.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",179,1830,Optimal,405.53165102005005,35,-0.5000737866834293,-0.5000738948552932,7.211102351800504e-8,2.7401767001293523e-7,1.6259491781206858e-8,1.984952103031845e-8,3.108526174863652e-7,,,,,,,,,,,215.440065112,408.840754846,669.611091099
classicalquantum,JuMP,ext,4,"(80, false, true)",,Float64,Mosek,,,Success,256280,2,512400,13120.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",239,3240,TimeLimit,1824.9528992176056,32,-0.5017314277048701,-0.5017317481494944,2.1338339864946157e-7,8.450758211114293e-7,4.3348174145039445e-8,5.794032598496757e-8,5.419393313852311e-7,,,,,,,,,,,1178.415311395,1832.835432977,3056.656903189
